plant_id,commodity_type,diameter_cm,wet_date,measure_date,irregular,position
73,LTC,20,2021-04-01,2021-04-01,false,"(-121.60557545823687, 36.66950147975322)"
2373,LTC,20,2021-04-01,2021-04-01,false,"(-121.60546240848771, 36.66955693800099)"
719,LTC,20,2021-04-01,2021-04-01,false,"(-121.6054031880154, 36.669632740712444)"
724,LTC,20,2021-04-01,2021-04-01,false,"(-121.60540560941837, 36.66963150915538)"
3241,LTC,20,2021-04-01,2021-04-01,false,"(-121.60514124260601, 36.66977483159924)"
92,LTC,20,2021-04-01,2021-04-01,false,"(-121.60556337041756, 36.66950715179404)"
604,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548454927515, 36.66958748632892)"
609,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548238594949, 36.66958477862489)"
2309,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549617415504, 36.66953686759446)"
2310,LTC,20,2021-04-01,2021-04-01,false,"(-121.60549840147686, 36.669532205645574)"
1655,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525813755365, 36.669723925366675)"
1869,LTC,20,2021-04-01,2021-04-01,false,"(-121.6053865267462, 36.66964712478132)"
2826,LTC,20,2021-04-01,2021-04-01,false,"(-121.60516474284161, 36.66971792376178)"
2568,LTC,20,2021-04-01,2021-04-01,false,"(-121.60533577530116, 36.66962727441219)"
80,LTC,20,2021-04-01,2021-04-01,false,"(-121.60555997313232, 36.66950485309899)"
2896,LTC,20,2021-04-01,2021-04-01,false,"(-121.60511570939096, 36.669751582563265)"
818,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534181870639, 36.6696668230285)"
819,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534370600172, 36.669669461277095)"
820,LTC,20,2021-04-01,2021-04-01,false,"(-121.60534116373856, 36.669667332965304)"
2808,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518153755982, 36.66971100392459)"
1531,LTC,20,2021-04-01,2021-04-01,false,"(-121.60517982405665, 36.66976697299135)"
1533,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518203545746, 36.66976955261834)"
1616,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525794321536, 36.669724660831186)"
1617,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525191227823, 36.6697239544181)"
1618,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525387294705, 36.66972661474492)"
441,LTC,20,2021-04-01,2021-04-01,false,"(-121.60558067793966, 36.669531140670976)"
605,LTC,20,2021-04-01,2021-04-01,false,"(-121.60548188135225, 36.669585545981924)"
1554,LTC,20,2021-04-01,2021-04-01,false,"(-121.60518813642045, 36.66976690296249)"
2691,LTC,20,2021-04-01,2021-04-01,false,"(-121.60525721794386, 36.669674692212176)"
2752,LTC,20,2021-04-01,2021-04-01,false,"(-121.60522191140686, 36.66969304485595)"
2753,LTC,20,2021-04-01,2021-04-01,false,"(-121.60521937684908, 36.669690598412565)"
1323,LTC,20,2021-04-01,2021-04-01,false,"(-121.60503990706916, 36.66982669902125)"
2920,LTC,20,2021-04-01,2021-04-01,false,"(-121.60509678029689, 36.66976184295075)"
3136,LTC,20,2021-04-01,2021-04-01,false,"(-121.6050727618817, 36.66980399145414)"
1819,LTC,20,2021-04-01,2021-04-01,false,"(-121.60535552094933, 36.669665691458256)"
1750,LTC,20,2021-04-01,2021-04-01,false,"(-121.60531281466659, 36.66969053169954)"
